Subject,StartDate
Duruthu Full Moon Poya Day,1/1/2018
Tamil Thai Pongal Day,1/14/2018
Adhi Duruthu Full Moon Poya Day,1/31/2018
National Day,2/4/2018
Mahasivarathri Day,2/13/2018
Medin Full Moon Poya Day,3/1/2018
Good Friday,3/30/2018
Bak Full Moon Poya Day,3/31/2018
Day prior to Sinhala & Tamil New Year,4/13/2018
Sinhala & Tamil New Year,4/14/2018
Vesak Full Moon Poya Day,4/29/2018
Day following Vesak Full Moon Poya Day,4/30/2018
May Day,5/1/2018
Adhi-Poson Full Moon Poya Day,5/29/2018
Id-Ul-Fitr,6/15/2018
Poson Full Moon Poya Day,6/27/2018
Esala Full Moon Poya Day,7/27/2018
Id-Ul-Alha,8/22/2018
Nikini Full Moon Poya Day,8/25/2018
Binara Full Moon Poya Day,9/24/2018
Vap Full Moon Poya Day,10/24/2018
Deepavali Festival Day,11/6/2018
Milad-Un-Nabi,11/20/2018
Il Full Moon Poya Day,11/22/2018
Unduwap Full Moon Poya Day,12/22/2018
Christmas Day,12/25/2018
